Date,Births
2007-07-01,5071.0
2007-08-01,5296.0
2007-09-01,4562.0
2007-10-01,5404.0
2007-11-01,4721.0
2007-12-01,4248.0
2008-01-01,5490.0
2008-02-01,4779.0
2008-03-01,4837.0
2008-04-01,4906.0
2008-05-01,5005.0
2008-06-01,4964.0
2008-07-01,5428.0
2008-08-01,4977.0
2008-09-01,5115.0
2008-10-01,5298.0
2008-11-01,4503.0
2008-12-01,4739.0
2009-01-01,5224.0
2009-02-01,4393.0
2009-03-01,4888.0
2009-04-01,5030.0
2009-05-01,4684.0
2009-06-01,5152.0
2009-07-01,5335.0
2009-08-01,4999.0
2009-09-01,4924.0
2009-10-01,5180.0
2009-11-01,4645.0
2009-12-01,4592.0
2010-01-01,5151.0
2010-02-01,4387.0
2010-03-01,5131.0
2010-04-01,4946.0
2010-05-01,4574.0
2010-06-01,5222.0
2010-07-01,4912.0
2010-08-01,5065.0
2010-09-01,4933.0
2010-10-01,4977.0
2010-11-01,4916.0
2010-12-01,4577.0
2011-01-01,5346.0
2011-02-01,4416.0
2011-03-01,4851.0
2011-04-01,4474.0
2011-05-01,5063.0
2011-06-01,5171.0
2011-07-01,4858.0
2011-08-01,5398.0
2011-09-01,4960.0
2011-10-01,4825.0
2011-11-01,4710.0
2011-12-01,4518.0
2012-01-01,5283.0
2012-02-01,4560.0
2012-03-01,4929.0
2012-04-01,4630.0
2012-05-01,5006.0
2012-06-01,4709.0
2012-07-01,5011.0
2012-08-01,5149.0
2012-09-01,4527.0
2012-10-01,5337.0
2012-11-01,4918.0
2012-12-01,3968.0
2013-01-01,5296.0
2013-02-01,4332.0
2013-03-01,4234.0
2013-04-01,4831.0
2013-05-01,4748.0
2013-06-01,4330.0
2013-07-01,5173.0
2013-08-01,4890.0
2013-09-01,4445.0
2013-10-01,5223.0
2013-11-01,4462.0
2013-12-01,4050.0
2014-01-01,5242.0
2014-02-01,4201.0
2014-03-01,4487.0
2014-04-01,4677.0
2014-05-01,4632.0
2014-06-01,4712.0
2014-07-01,5158.0
2014-08-01,4785.0
2014-09-01,4986.0
2014-10-01,5323.0
2014-11-01,4288.0
2014-12-01,4234.0
2015-01-01,4791.0
2015-02-01,4137.0
2015-03-01,4391.0
2015-04-01,4543.0
2015-05-01,4321.0
2015-06-01,4853.0
2015-07-01,5084.0
2015-08-01,4707.0
2015-09-01,4819.0
2015-10-01,4794.0
2015-11-01,4396.0
2015-12-01,4262.0
2016-01-01,4649.0
2016-02-01,4220.0
2016-03-01,4438.0
2016-04-01,4456.0
2016-05-01,4647.0
2016-06-01,4827.0
2016-07-01,4609.0
2016-08-01,4977.0
2016-09-01,4672.0
2016-10-01,4607.0
2016-11-01,4404.0
2016-12-01,3982.0
2017-01-01,4735.0
2017-02-01,3994.0
2017-03-01,4523.0
2017-04-01,3989.0
2017-05-01,4466.0
2017-06-01,4500.0
2017-07-01,4546.0
2017-08-01,4997.0
2017-09-01,4297.0
2017-10-01,4650.0
2017-11-01,4387.0
2017-12-01,3777.0
2018-01-01,4831.0
2018-02-01,3799.0
2018-03-01,4061.0
2018-04-01,4187.0
2018-05-01,4484.0
2018-06-01,4286.0
2018-07-01,4473.0
2018-08-01,4657.0
2018-09-01,3948.0
2018-10-01,4723.0
2018-11-01,4337.0
2018-12-01,3522.0
2019-01-01,4833.0
2019-02-01,3812.0
2019-03-01,3973.0
2019-04-01,3999.0
2019-05-01,4343.0
2019-06-01,3884.0
2019-07-01,4588.0
2019-08-01,4417.0
2019-09-01,4147.0
2019-10-01,4635.0
2019-11-01,3805.0
2019-12-01,3427.0
2021-01-01,3721.0
2021-02-01,3620.0
2021-03-01,4170.0
2021-04-01,3884.0
2021-05-01,3554.0
2021-06-01,4003.0
2021-07-01,4014.0
2021-08-01,4158.0
2021-09-01,4377.0
2021-10-01,4347.0
2021-11-01,4450.0
2021-12-01,3488.0
2022-01-01,4194.0
2022-02-01,3837.0
2022-03-01,4095.0
2022-04-01,3423.0
2022-05-01,4021.0
2022-06-01,3797.0
2022-07-01,3587.0
2022-08-01,4054.0
2022-09-01,4052.0
2022-10-01,4329.0
2022-11-01,4498.0
2022-12-01,3072.0
2023-01-01,4163.0
2023-02-01,3558.0
2023-03-01,3929.0
2023-04-01,3337.0
2023-05-01,3693.0
2023-06-01,4028.0
2023-07-01,3783.0
2023-08-01,4434.0
2023-09-01,3674.0
2023-10-01,4087.0
2023-11-01,4190.0
2023-12-01,3059.0
